x_km,y_km,z_km,datetime
842.3185427460734,2900.142740829387,6237.493917699494,2025-06-08 14:10:00+00:00
2884.02743675353,5444.992839477238,3185.5738762227784,2025-06-08 14:20:00+00:00
3729.7397811981496,5731.8981502896895,-1190.6549204226656,2025-06-08 14:30:00+00:00
3030.32166944673,3644.0289904046804,-5073.145456482234,2025-06-08 14:40:00+00:00
1079.426716028564,50.87385432112227,-6856.317967303692,2025-06-08 14:50:00+00:00
-1316.2105577678988,-3563.2075466270003,-5806.809060514898,2025-06-08 15:00:00+00:00
-3167.4409063269864,-5704.484382334257,-2353.0827805044214,2025-06-08 15:10:00+00:00
-3704.020957488124,-5478.470202911576,2078.4512596421487,2025-06-08 15:20:00+00:00
-2700.854666789437,-2975.042808106295,5643.809519504976,2025-06-08 15:30:00+00:00
-576.6438472531232,763.5226726209216,6861.454662522541,2025-06-08 15:40:00+00:00
1786.5146192158725,4185.989426030847,5229.381738680969,2025-06-08 15:50:00+00:00
3409.077044092429,5873.395798847271,1424.5792534132634,2025-06-08 16:00:00+00:00
3618.0436898137905,5125.316366755243,-2972.7199693346943,2025-06-08 16:10:00+00:00
2329.9057405371523,2256.145773608155,-6137.839419520848,2025-06-08 16:20:00+00:00
80.71133278826517,-1543.9813389488982,-6765.673382362191,2025-06-08 16:30:00+00:00
-2201.356548363682,-4706.999404861256,-4597.017568935802,2025-06-08 16:40:00+00:00
-3571.6715787904736,-5921.144428642497,-521.9303402421717,2025-06-08 16:50:00+00:00
-3457.966624350005,-4675.252889742962,3769.8618006854267,2025-06-08 17:00:00+00:00
-1907.346205661473,-1486.4548456018133,6491.588420694544,2025-06-08 17:10:00+00:00
434.2737924722548,2319.1231119070776,6515.2641397102125,2025-06-08 17:20:00+00:00
2595.9136983146773,5163.975818888486,3833.144123602808,2025-06-08 17:30:00+00:00
3681.107087461802,5867.608498490728,-442.25360534279787,2025-06-08 17:40:00+00:00
3240.7595124191157,4139.399485027254,-4534.5463256381245,2025-06-08 17:50:00+00:00
1461.27444572501,700.369498661665,-6749.465547643754,2025-06-08 18:00:00+00:00
-920.4623190666053,-3027.4589815379372,-6175.74340134385,2025-06-08 18:10:00+00:00
-2921.5748143322544,-5504.66406913933,-3046.528581225136,2025-06-08 18:20:00+00:00
-3710.762569258703,-5698.871294804575,1348.0606733642703,2025-06-08 18:30:00+00:00
-2957.4191933571788,-3524.1304961395576,5180.681741838187,2025-06-08 18:40:00+00:00
-976.1093626559157,114.14294705930665,6857.469700273351,2025-06-08 18:50:00+00:00
1409.7455699692337,3705.430378194674,5685.844835299663,2025-06-08 19:00:00+00:00
3211.2690536433897,5761.115366503811,2152.236649608242,2025-06-08 19:10:00+00:00
3681.0983421419237,5427.704855685739,-2276.288980475721,2025-06-08 19:20:00+00:00
2626.943725485596,2846.9489341598915,-5760.963090070346,2025-06-08 19:30:00+00:00
488.71268596234233,-909.0240382861998,-6863.235782984823,2025-06-08 19:40:00+00:00
-1850.6799300479472,-4289.971761568641,-5129.415458671249,2025-06-08 19:50:00+00:00
-3424.018691309968,-5895.941895420874,-1269.777793739514,2025-06-08 20:00:00+00:00
-3575.207139871457,-5053.313279964782,3117.6536800846407,2025-06-08 20:10:00+00:00
-2240.4557668008733,-2110.2933240812704,6206.306505106288,2025-06-08 20:20:00+00:00
23.735473091113594,1708.4873973003166,6714.6681097401315,2025-06-08 20:30:00+00:00
2278.065856074566,4819.613479549533,4434.520020417801,2025-06-08 20:40:00+00:00
3587.851473533949,5932.574835327532,311.4355243556178,2025-06-08 20:50:00+00:00
3410.315757181019,4586.109321691135,-3941.581643373851,2025-06-08 21:00:00+00:00
1822.7715010557238,1343.1648958684293,-6561.905501285253,2025-06-08 21:10:00+00:00
-516.2429505656532,-2453.7713219305106,-6470.671250670409,2025-06-08 21:20:00+00:00
-2641.7049763217256,-5237.5849080897815,-3703.253927150492,2025-06-08 21:30:00+00:00
-3671.9989525121437,-5850.585982158592,601.43030619658,2025-06-08 21:40:00+00:00
-3176.0471212372927,-4031.9079850944495,4655.126300080227,2025-06-08 21:50:00+00:00
-1360.913112812562,-538.3374984037657,6771.014593199169,2025-06-08 22:00:00+00:00
1018.3642121461274,3178.723807176098,6073.876439175801,2025-06-08 22:10:00+00:00
2975.5796346269954,5578.683910084448,2853.9326656708345,2025-06-08 22:20:00+00:00
3698.816415449636,5665.2073618850845,-1552.5229478825818,2025-06-08 22:30:00+00:00
2890.022461265139,3405.0065156797978,-5315.121397217904,2025-06-08 22:40:00+00:00
887.9763999239719,-261.4358458240815,-6878.715173733754,2025-06-08 22:50:00+00:00
-1479.875551937025,-3819.9957940689196,-5600.2115167560005,2025-06-08 23:00:00+00:00
-3235.4802324462717,-5799.085289389568,-2002.2714239575128,2025-06-08 23:10:00+00:00
-3647.852417060854,-5370.970837386376,2427.846847945342,2025-06-08 23:20:00+00:00
-2543.8968801759875,-2710.203923802393,5846.317393646834,2025-06-08 23:30:00+00:00
-384.2578552314104,1075.5619189961706,6833.327669577224,2025-06-08 23:40:00+00:00
1934.5870674081705,4415.93810322447,4982.479558459143,2025-06-08 23:50:00+00:00
3451.406260056632,5925.807178063506,1061.3376821972563,2025-06-09 00:00:00+00:00
3537.171363816034,4978.595897877564,-3301.336662266097,2025-06-09 00:10:00+00:00
2159.6545974935966,1971.4938873948986,-6295.873638186613,2025-06-09 00:20:00+00:00
